state,district_name,district_type,nces_lea_id,studentvue_login_url,mobile_app_base_url,district_studentvue_information_url,evidence_url,evidence_title,verification_status,last_verified,notes
New York,BEDFORD CENTRAL SCHOOL DISTRICT,Traditional public school district,3619950,https://ny-bcsd-psv.edupoint.com/PXP2_Login_Student.aspx,https://ny-bcsd-psv.edupoint.com/,,https://ny-bcsd-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Bedford Central School District (Mount Kisco NY 10549); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 3619950 (name score 1.24).
New York,BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,Traditional public school district,3624630,https://ny-bbr-psv.edupoint.com/PXP2_Login_Student.aspx,https://ny-bbr-psv.edupoint.com/,,https://ny-bbr-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Blind Brook-Rye UFSD (Rye Brook NY 10573); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 3624630 (name score 1.02).
New York,CARMEL CENTRAL SCHOOL DISTRICT,Traditional public school district,3606570,https://ny-cmcsd-psv.edupoint.com/PXP2_Login_Student.aspx,https://ny-cmcsd-psv.edupoint.com/,https://www.carmelschools.org/,https://www.carmelschools.org/,Carmel Central School District - Home,Confirmed current,2026-07-24,Edupoint registry: Carmel Central School District (Patterson NY 12563); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 3606570 (name score 1.24).
New York,CHESTER UNION FREE SCHOOL DISTRICT,Traditional public school district,3607380,https://ny-cufsd-psv.edupoint.com/PXP2_Login_Student.aspx,https://ny-cufsd-psv.edupoint.com/,https://www.chesterufsd.org/,https://www.chesterufsd.org/,Home - Chester Union Free School District,Confirmed current,2026-07-24,Edupoint registry: Chester UFSD (Chester NY 10918); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 3607380 (name score 0.91).
New York,COHOES CITY SCHOOL DISTRICT,Traditional public school district,3607980,https://ny-ccsd-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://ny-ccsd-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: Cohoes City School District (Cohoes NY 12047); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 3607980 (name score 1.24).
New York,EASTPORT-SOUTH MANOR CSD,Traditional public school district,3600125,https://ny-esm-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://ny-esm-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,"Edupoint registry: Eastport South Manor Central School District (Manorville NY 11949); ConnectTimeout: HTTPSConnectionPool(host='ny-esm-psv.edupoint.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeou Matched to NCES 2024-25 LEA 3600125 (name score 1.24)."
New York,GREENVILLE CENTRAL SCHOOL DISTRICT,Traditional public school district,3612870,https://ny-gcsd-psv.edupoint.com/PXP2_Login_Student.aspx,https://ny-gcsd-psv.edupoint.com/,,https://ny-gcsd-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Greenville Central School District (Greenville NY 12083); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 3612870 (name score 1.24).
New York,HORNELL CITY SCHOOL DISTRICT,Traditional public school district,3614820,https://ny-hcsd-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://ny-hcsd-psv.edupoint.com/PXP2_Login_Student.aspx,,Confirmed current,2026-07-24,"Edupoint registry: Hornell City School District (Hornell NY 14843); ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) Matched to NCES 2024-25 LEA 3614820 (name score 1.24). Independently reopened successfully at the live StudentVUE login during manual review."
New York,MILLBROOK CENTRAL SCHOOL DISTRICT,Traditional public school district,3619380,https://ny-mcsd-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://ny-mcsd-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: Millbrook Central School District (Millbrook NY 12545); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 3619380 (name score 1.24).
New York,NEW HYDE PARK-GARDEN CITY PARK UNION FREE SCHOOL DISTRICT,Traditional public school district,3620400,https://ny-nhp-psv.edupoint.com/PXP2_Login_Student.aspx,https://ny-nhp-psv.edupoint.com/,,https://ny-nhp-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: New Hyde Park - Garden City Park UFSD (New Hyde Park NY 11040); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 3620400 (name score 1.09).
New York,OSWEGO CITY SCHOOL DISTRICT,Traditional public school district,3622050,https://ny-ocsd-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://ny-ocsd-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: Oswego City School District (Oswego NY 13126); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 3622050 (name score 1.24).
New York,PORT WASHINGTON UNION FREE SCHOOL DISTRICT,Traditional public school district,3623580,https://ny-port-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://ny-port-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,"Edupoint registry: Port Washington School District (Port Washington NY 11050); ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) Matched to NCES 2024-25 LEA 3623580 (name score 0.97)."
New York,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,Traditional public school district,3624150,https://ny-rcssd-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://ny-rcssd-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: Ravena-Coeymans-Selkirk Central School District (Ravena NY 12143); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 3624150 (name score 1.24).
New York,SUFFERN CENTRAL SCHOOL DISTRICT,Traditional public school district,3628320,https://ny-scsd-psv.edupoint.com/PXP2_Login_Student.aspx,https://ny-scsd-psv.edupoint.com/,https://www.sufferncentral.org/,https://www.sufferncentral.org/,Suffern Central School District Home,Confirmed current,2026-07-24,Edupoint registry: Suffern Central School District (Hillburn NY 10931); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 3628320 (name score 1.24).
New York,WEST GENESEE CENTRAL SCHOOL DISTRICT,Traditional public school district,3630630,https://ny-wgen-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://ny-wgen-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: West Genesee School District (Camillus NY 13031); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 3630630 (name score 1.24).
