state,district_name,district_type,nces_lea_id,studentvue_login_url,mobile_app_base_url,district_studentvue_information_url,evidence_url,evidence_title,verification_status,last_verified,notes
Maryland,Charles County Public Schools,Traditional public school district,2400270,https://md-ccps-psv.edupoint.com/PXP2_Login_Student.aspx,https://md-ccps-psv.edupoint.com/,,https://md-ccps-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Charles County Public Schools (La Plata MD 20646); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2400270 (name score 1.24).
Maryland,Howard County Public Schools,Traditional public school district,2400420,https://md-hcpss-psv.edupoint.com/PXP2_Login_Student_OVR.aspx,https://md-hcpss-psv.edupoint.com/,,https://md-hcpss-psv.edupoint.com/PXP2_Login_Student_OVR.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Howard County Public School System (ELLICOTT CITY MD 21042); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2400420 (name score 1.24).
Maryland,Montgomery County Public Schools,Traditional public school district,2400480,https://md-mcps-psv.edupoint.com/PXP2_Login_Student.aspx,https://md-mcps-psv.edupoint.com/,https://www.montgomeryschoolsmd.org/news/mcps-news/2026/05/now-you-know--updated-parentvue--studentvue-apps/,https://www.montgomeryschoolsmd.org/news/mcps-news/2026/05/now-you-know--updated-parentvue--studentvue-apps/,Updated ParentVUE & StudentVUE Apps | Montgomery County Public Schools,Confirmed current,2026-07-24,Edupoint registry: Montgomery County Public Schools (Rockville MD 20850); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2400480 (name score 1.24).; Official district page independently confirms current StudentVUE use.
Maryland,Prince George's County Public Schools,Traditional public school district,2400510,https://md-pgcps-psv.edupoint.com/PXP2_Login_Student.aspx,https://md-pgcps-psv.edupoint.com/,,https://md-pgcps-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Prince George's County Public Schools (Upper Marlboro MD 20772); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2400510 (name score 1.24).
Maryland,Washington County Public Schools,Traditional public school district,2400660,https://md-washington-psv.edupoint.com/PXP2_Login_Student.aspx,https://md-washington-psv.edupoint.com/,https://www.wcpsmd.com/,https://www.wcpsmd.com/,Home - Washington County Public Schools,Confirmed current,2026-07-24,Edupoint registry: Washington County Public Schools (Hagerstown MD 21740); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2400660 (name score 1.24).
Virginia,Arlington County Public Schools,Traditional public school district,5100270,https://va-arl-psv.edupoint.com/PXP2_Login_Student.aspx,https://va-arl-psv.edupoint.com/,,https://va-arl-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Arlington Public Schools (Arlington VA 22207); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 5100270 (name score 1.24).
Virginia,Chesapeake City Public Schools,Traditional public school district,5100810,https://va-cps-psv.edupoint.com/PXP2_Login_Student.aspx,https://va-cps-psv.edupoint.com/,,https://va-cps-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Chesapeake Public Schools (Chesapeake VA 23322); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 5100810 (name score 1.24).
Virginia,Chesterfield County Public Schools,Traditional public school district,5100840,https://va-chesterfield-psv.edupoint.com/PXP2_Login_Student.aspx,https://va-chesterfield-psv.edupoint.com/,,https://va-chesterfield-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Chesterfield County Public Schools (North Chesterfield VA 23225); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 5100840 (name score 1.14).
Virginia,Fairfax County Public Schools,Traditional public school district,5101260,https://sisstudent.fcps.edu/svue/PXP2_Login_Student_OVR.aspx,https://sisstudent.fcps.edu/svue,https://www.fcps.edu/services/technology/tools/sis-studentvue,https://www.fcps.edu/services/technology/tools/sis-studentvue,SIS StudentVUE | Fairfax County Public Schools,Confirmed current,2026-07-24,Edupoint registry: Fairfax County Public Schools (Falls Church VA 22042); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 5101260 (name score 1.24).; Official district page independently confirms current StudentVUE use.
Virginia,Loudoun County Public Schools,Traditional public school district,5102250,https://portal.lcps.org/PXP2_Login_Student.aspx,https://portal.lcps.org/,,https://portal.lcps.org/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Loudoun County Public Schools (Ashburn VA 20148); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 5102250 (name score 1.24).
