state,district_name,district_type,nces_lea_id,studentvue_login_url,mobile_app_base_url,district_studentvue_information_url,evidence_url,evidence_title,verification_status,last_verified,notes
Tennessee,Alamo,Traditional public school district,4700030,https://tn-alamo-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://tn-alamo-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: Alamo City School (Alamo TN 38001); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 4700030 (name score 1.24).
Tennessee,Athens,Traditional public school district,4700120,https://tn-ath-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://tn-ath-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: Athens City School District 541 (Athens TN 37303); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 4700120 (name score 0.99).
Tennessee,Bedford County,Traditional public school district,4700180,https://tn-bcs-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://tn-bcs-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: Bedford County Schools (Shelbyville TN 37160); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 4700180 (name score 1.24).
Tennessee,Benton County,Traditional public school district,4700240,https://tn-ben-psv.edupoint.com/PXP2_Login_Student.aspx,,https://www.bentoncountyschools.org/live_feeds/12593555,https://www.bentoncountyschools.org/live_feeds/12593555,StudentVUE mobile app information | Benton County Schools,Confirmed current,2026-07-24,Edupoint registry: Benton County Schools (Camden TN 38320); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 4700240 (name score 1.24).; Official district page independently confirms current StudentVUE use.
Tennessee,Bradford,Traditional public school district,4701390,https://tn-bssd-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://tn-bssd-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: Bradford Area School District (Bradford TN 38316); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 4701390 (name score 1.00).
Tennessee,Bradley County,Traditional public school district,4700330,https://tn-bra-psv.edupoint.com/PXP2_Login_Student.aspx,,https://www.bradleyschools.org/resources/for-parents/synergy-links,https://www.bradleyschools.org/resources/for-parents/synergy-links,Synergy Links | Bradley County Schools,Confirmed current,2026-07-24,Edupoint registry: Bradley County Schools (Cleveland TN 37311); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 4700330 (name score 1.24).; Official district page independently confirms current StudentVUE use.
Tennessee,Cheatham County,Traditional public school district,4700570,https://tn-chcs-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://tn-chcs-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: Cheatham County Schools (Ashland City TN 37015); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 4700570 (name score 1.24).
Tennessee,Chester County,Traditional public school district,4700600,https://tn-che-psv.edupoint.com/PXP2_Login_Student.aspx,,https://www.chestercountyschools.org/,https://www.chestercountyschools.org/,Chester County Schools - Home,Probable — needs manual verification,2026-07-24,Edupoint registry: Chester County Schools (Henderson TN 38340); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 4700600 (name score 1.24).
Tennessee,Coffee County,Traditional public school district,4700780,https://tn-cof-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://tn-cof-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: Coffee County Schools (Manchester TN 37355); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 4700780 (name score 1.24).
Tennessee,Crockett County,Traditional public school district,4700850,https://tn-ccs-psv.edupoint.com/PXP2_Login_Student.aspx,,,https://tn-ccs-psv.edupoint.com/PXP2_Login_Student.aspx,,Probable — needs manual verification,2026-07-24,Edupoint registry: Crockett County Schools (Alamo TN 38001); HTTP 200; no StudentVUE login signal Matched to NCES 2024-25 LEA 4700850 (name score 1.24).
